scientificNameID,scientificName,taxonID,taxonGroup,organismQuantity,eventDate,locationID,locality,河川代碼
381019,Tanakia himantegus,1179f87b-f544-4f13-af59-177af97205b2,1 魚類,18,2019/6/18,1730320001,旗南橋,173
395224,Clarias batrachus,43e420b5-fdc2-4e2f-9fb4-036463a7090d,1 魚類,3,2019/6/18,1730320001,旗南橋,173
395254,Pterygoplichthys pardalis,eb4a4ead-55fd-4da6-b7f8-d80b55e5fe5b,1 魚類,54,2019/6/18,1730320001,旗南橋,173
395408,Channa striata,985162dd-f694-4f8a-bd15-4da77de27875,1 魚類,5,2019/6/18,1730320001,旗南橋,173
395487,Amphilophus citrinellus,1e2009fa-afce-47b5-8c2d-f425ebf2e0df,1 魚類,8,2019/6/18,1730320001,旗南橋,173
381624,Oreochromis niloticus,4daa7e2b-68c9-446f-a192-5c32d677aa26,1 魚類,90,2019/6/18,1730320001,旗南橋,173
395570,Parachromis managuensis,0cbf146d-32f0-47ab-95fe-83c43b05e722,1 魚類,13,2019/6/18,1730320001,旗南橋,173
381014,Hypsibarbus pierrei,a62dab56-8e2c-4b62-ade4-7dc738aba67f,1 魚類,4,2019/6/18,1730320002,東門橋,173
395254,Pterygoplichthys pardalis,eb4a4ead-55fd-4da6-b7f8-d80b55e5fe5b,1 魚類,2,2019/6/18,1730320002,東門橋,173
395487,Amphilophus citrinellus,1e2009fa-afce-47b5-8c2d-f425ebf2e0df,1 魚類,4,2019/6/18,1730320002,東門橋,173
381624,Oreochromis niloticus,4daa7e2b-68c9-446f-a192-5c32d677aa26,1 魚類,16,2019/6/18,1730320002,東門橋,173
381000,Candidia barbata,3e294710-6b83-4afb-adc2-b246b5c3cf95,1 魚類,35,2019/6/18,1730320003,泰和橋,173
381014,Hypsibarbus pierrei,a62dab56-8e2c-4b62-ade4-7dc738aba67f,1 魚類,1,2019/6/18,1730320003,泰和橋,173
381016,Microphysogobio alticorpus,2a45aad3-b14b-4138-864e-dd1a9e3db3cc,1 魚類,6,2019/6/18,1730320003,泰和橋,173
395436,Opsariichthys kaopingensis,bff10cdb-c00b-4f4c-a0af-3f435cd114a6,1 魚類,11,2019/6/18,1730320003,泰和橋,173
381027,Spinibarbus hollandi,99b2cfe1-fee9-4f2e-b019-427c390b2b70,1 魚類,8,2019/6/18,1730320003,泰和橋,173
381624,Oreochromis niloticus,4daa7e2b-68c9-446f-a192-5c32d677aa26,1 魚類,1,2019/6/18,1730320003,泰和橋,173
381844,Rhinogobius nantaiensis,fc09b1ef-fbd5-471b-a559-30c7aba24cfb,1 魚類,2,2019/6/18,1730320003,泰和橋,173
380997,Acrossocheilus paradoxus,4d741193-b2ac-49db-8caf-d0f9c192bbd4,1 魚類,3,2019/6/18,1730320005,雙溪橋,173
381000,Candidia barbata,3e294710-6b83-4afb-adc2-b246b5c3cf95,1 魚類,21,2019/6/18,1730320005,雙溪橋,173
395436,Opsariichthys kaopingensis,bff10cdb-c00b-4f4c-a0af-3f435cd114a6,1 魚類,15,2019/6/18,1730320005,雙溪橋,173
381027,Spinibarbus hollandi,99b2cfe1-fee9-4f2e-b019-427c390b2b70,1 魚類,9,2019/6/18,1730320005,雙溪橋,173
381844,Rhinogobius nantaiensis,fc09b1ef-fbd5-471b-a559-30c7aba24cfb,1 魚類,3,2019/6/18,1730320005,雙溪橋,173
395436,Opsariichthys kaopingensis,bff10cdb-c00b-4f4c-a0af-3f435cd114a6,1 魚類,2,2019/6/26,1730200001,高樹大橋,173
381027,Spinibarbus hollandi,99b2cfe1-fee9-4f2e-b019-427c390b2b70,1 魚類,7,2019/6/26,1730200001,高樹大橋,173
381844,Rhinogobius nantaiensis,fc09b1ef-fbd5-471b-a559-30c7aba24cfb,1 魚類,8,2019/6/26,1730200001,高樹大橋,173
380991,Hemimyzon formosanus,cea2ea72-bfa4-4718-be05-445fb6ce349b,1 魚類,1,2019/6/26,1730200004,南華大橋,173
381010,Gobiobotia kolleri,5198724a-b8f1-4966-8e2d-9a337aefe904,1 魚類,5,2019/6/26,1730200004,南華大橋,173
381027,Spinibarbus hollandi,99b2cfe1-fee9-4f2e-b019-427c390b2b70,1 魚類,3,2019/6/26,1730200004,南華大橋,173
380991,Hemimyzon formosanus,cea2ea72-bfa4-4718-be05-445fb6ce349b,1 魚類,1,2019/6/26,1730200002,三地門橋,173
381029,Onychostoma alticorpus,51576a14-8ee7-4b82-a0bf-5036a8906566,1 魚類,2,2019/6/26,1730200002,三地門橋,173
395436,Opsariichthys kaopingensis,bff10cdb-c00b-4f4c-a0af-3f435cd114a6,1 魚類,1,2019/6/26,1730200002,三地門橋,173
381027,Spinibarbus hollandi,99b2cfe1-fee9-4f2e-b019-427c390b2b70,1 魚類,1,2019/6/26,1730200002,三地門橋,173
380991,Hemimyzon formosanus,cea2ea72-bfa4-4718-be05-445fb6ce349b,1 魚類,2,2019/6/26,1730200003,隘寮堰,173
380997,Acrossocheilus paradoxus,4d741193-b2ac-49db-8caf-d0f9c192bbd4,1 魚類,1,2019/6/26,1730200003,隘寮堰,173
